Title,Year,Available,Available On,Match Type
"Crouching Tiger, Hidden Dragon",2000,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
The Last of the Mohicans,1992,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Rear Window,1954,False,—,None
The Game,1997,False,—,None
Grave Encounters,2011,False,—,None
Love Actually,2003,True,"RipItGood, TheBox",Title+Year
Green Book,2018,True,JeSTeRPLeX,Title+Year
How to Lose a Guy in 10 Days,2003,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Freaky Friday,2003,True,"JeSTeRPLeX, Z'Films",Title+Year
White Noise,2022,True,"RipItGood, TheBox",Fuzzy
Space Jam,1996,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Chef,2014,True,Z'Films,Title+Year
Tremors,1990,True,TheBox,Title+Year
The Princess Bride,1987,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Secret Life of Walter Mitty,2013,True,JeSTeRPLeX,Title+Year
The Princess Diaries,2001,True,"JeSTeRPLeX, Z'Films",Title+Year
American Pie,1999,True,"RipItGood, TheBox",Title+Year
Big Trouble in Little China,1986,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
You've Got Mail,1998,True,"TheBox, JeSTeRPLeX",Title+Year
The Artist,2011,True,JeSTeRPLeX,Title+Year
Love & Other Drugs,2010,False,—,None
The Great Dictator,1940,True,TheBox,Title+Year
Thank You for Smoking,2005,True,RipItGood,Title+Year
Tenacious D in The Pick of Destiny,2006,False,—,None
"Dude, Where's My Car?",2000,False,—,None
Robin Hood: Men in Tights,1993,True,JeSTeRPLeX,Title+Year
Buffy the Vampire Slayer,1992,True,JeSTeRPLeX,Title+Year
Hot Shots!,1991,True,RipItGood,Title+Year
"Men, Women & Children",2014,False,—,None
Sneakers,1992,True,JeSTeRPLeX,Title+Year
Mississippi Grind,2015,False,—,None
White Palace,1990,False,—,None
Hot Fuzz,2007,True,TheBox,Title+Year
M,1931,False,—,None
Fast & Furious,2009,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Ghost in the Shell,2017,True,JeSTeRPLeX,Title+Year
True Grit,2010,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Lawrence of Arabia,1962,True,TheBox,Title+Year
Total Recall,1990,True,JeSTeRPLeX,Fuzzy
Mad Max,1979,True,"TheBox, JeSTeRPLeX",Title+Year
Only God Forgives,2013,False,—,None
The Italian Job,2003,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
I Am Not Your Negro,2016,False,—,None
Hoop Dreams,1994,False,—,None
The Killing of a Sacred Deer,2017,False,—,None
American History X,1998,True,RipItGood,Title+Year
"Paris, Texas",1984,False,—,None
The Rocky Horror Picture Show,1975,True,"RipItGood, TheBox",Title+Year
The Fifth Element,1997,True,JeSTeRPLeX,Title+Year
Sleepy Hollow,1999,False,—,None
Stranger Than Fiction,2006,True,"RipItGood, JeSTeRPLeX",Title+Year
High Fidelity,2000,False,—,None
Cry-Baby,1990,True,TheBox,Title+Year
An American in Paris,1951,True,JeSTeRPLeX,Title+Year
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,True,"TheBox, JeSTeRPLeX",Title+Year
The Thing,1982,True,TheBox,Title+Year
Eyes Wide Shut,1999,False,—,None
L.A. Confidential,1997,False,—,None
It Comes at Night,2017,False,—,None
Gattaca,1997,True,JeSTeRPLeX,Title+Year
The Bourne Ultimatum,2007,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Source Code,2011,True,"RipItGood, JeSTeRPLeX",Title+Year
Vanilla Sky,2001,True,"RipItGood, TheBox",Title+Year
Twin Peaks,1989,False,—,None
Pi,1998,True,RipItGood,Title+Year
Color Out of Space,2019,False,—,None
Cube,1997,True,TheBox,Title+Year
Jacob's Ladder,1990,True,TheBox,Title+Year
Disturbia,2007,True,RipItGood,Title+Year
Casablanca,1942,True,"TheBox, JeSTeRPLeX",Title+Year
West Side Story,2021,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Bridget Jones's Diary,2001,True,TheBox,Title+Year
There's Something About Mary,1998,True,RipItGood,Title+Year
Say Anything...,1989,False,—,None
A Walk to Remember,2002,True,"RipItGood, JeSTeRPLeX",Title+Year
Ghost in the Shell,1995,True,"TheBox, JeSTeRPLeX",Title+Year
Alita: Battle Angel,2019,True,JeSTeRPLeX,Title+Year
Chappie,2015,False,—,None
The Cloverfield Paradox,2018,False,—,None
Tomorrowland,2015,True,JeSTeRPLeX,Title+Year
eXistenZ,1999,False,—,None
Colossal,2016,False,—,None
Repo Man,1984,False,—,None
Hot Tub Time Machine,2010,False,—,None
The Blob,1988,False,—,None
Flubber,1997,True,"JeSTeRPLeX, Z'Films",Title+Year
Westworld,1973,False,—,None
The Man from Earth,2007,False,—,None
The Running Man,1987,True,JeSTeRPLeX,Fuzzy
From Beyond,1986,False,—,None
Soylent Green,1973,False,—,None
Deep Impact,1998,True,"RipItGood, JeSTeRPLeX",Title+Year
Chopping Mall,1986,False,—,None
The Blob,1958,False,—,None
Mimic,1997,False,—,None
Looper,2012,False,—,None
The Devil's Advocate,1997,True,RipItGood,Title+Year
Dial M for Murder,1954,False,—,None
The French Connection,1971,False,—,None
Thief,1981,False,—,None
Armageddon,1998,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Little Things,2021,False,—,None
In the Mouth of Madness,1994,True,TheBox,Title+Year
Dirty Harry,1971,False,—,None
Wanted,2008,True,"RipItGood, TheBox",Title+Year
Donnie Brasco,1997,False,—,None
Lights Out,2016,False,—,None
The Phantom of the Opera,2004,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Dressed to Kill,1980,False,—,None
Sleepers,1996,False,—,None
To Catch a Thief,1955,False,—,None
Peeping Tom,1960,False,—,None
The Double,2013,False,—,None
Angels & Demons,2009,True,"JeSTeRPLeX, Z'Films",Title+Year
Equilibrium,2002,True,JeSTeRPLeX,Title+Year
The Abyss,1989,True,JeSTeRPLeX,Title+Year
Inferno,1980,True,JeSTeRPLeX,Fuzzy
Escape from Alcatraz,1979,True,JeSTeRPLeX,Title+Year
The Hills Have Eyes,1977,True,TheBox,Title+Year
Wild Things,1998,False,—,None
Hacksaw Ridge,2016,True,"JeSTeRPLeX, Z'Films",Title+Year
Letters from Iwo Jima,2006,False,—,None
The Monuments Men,2014,False,—,None
The Dirty Dozen,1967,True,"RipItGood, JeSTeRPLeX",Title+Year
Red Dawn,1984,True,JeSTeRPLeX,Title+Year
Le Petit Soldat,1963,False,—,None
Silver Linings Playbook,2012,False,—,None
Kung Fury,2015,False,—,None
White Men Can't Jump,1992,False,—,None
Beethoven,1992,True,JeSTeRPLeX,Title+Year
¡Three Amigos!,1986,True,JeSTeRPLeX,Fuzzy
St. Elmo's Fire,1985,False,—,None
Get Shorty,1995,False,—,None
Crocodile Dundee,1986,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Cloverfield,2008,True,"TheBox, JeSTeRPLeX",Title+Year
