Title,Year,Available,Available On,Match Type
BlackBerry,2023,True,TheBox,Title+Year
The 355,2022,True,JeSTeRPLeX,Title+Year
Amsterdam,2022,False,—,None
Tough Guys Don't Dance,1987,False,—,None
Flower,2017,False,—,None
Cruising,1980,False,—,None
Spree,2020,False,—,None
Submarine,2010,True,TheBox,Fuzzy
A Clockwork Orange,1971,True,TheBox,Title+Year
Queen & Slim,2019,False,—,None
Overlord,2018,False,—,None
Sunset Boulevard,1950,False,—,None
About Time,2013,True,"TheBox, Z'Films",Title+Year
Adaptation.,2002,False,—,None
All That Jazz,1979,True,TheBox,Title+Year
All the President's Men,1976,False,—,None
Annie Hall,1977,True,TheBox,Title+Year
Anatomy of a Murder,1959,False,—,None
The Apartment,1960,False,—,None
Badlands,1973,False,—,None
Blue Collar,1978,False,—,None
Boiling Point,2021,False,—,None
Boy,2010,True,TheBox,Title+Year
Cabaret,1972,True,JeSTeRPLeX,Title+Year
The Conversation,1974,True,RipItGood,Title+Year
"The Cook, the Thief, His Wife & Her Lover",1989,False,—,None
Dog Day Afternoon,1975,False,—,None
Double Indemnity,1944,False,—,None
Ed Wood,1994,False,—,None
Fail Safe,1964,False,—,None
The Fall,2006,True,TheBox,Title+Year
Good Time,2017,False,—,None
Guillermo del Toro's Pinocchio,2022,True,JeSTeRPLeX,Title+Year
Shoah,1985,False,—,None
The Lighthouse,2019,False,—,None
Invasion of the Body Snatchers,1956,False,—,None
Miracle Mile,1988,False,—,None
The Invisible Man,1933,False,—,None
The Stepford Wives,1975,True,JeSTeRPLeX,Fuzzy
Upgrade,2018,False,—,None
Serenity,2005,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Tenet,2020,True,"JeSTeRPLeX, Z'Films",Title+Year
Oldboy,2003,True,TheBox,Title+Year
Wild Reeds,1994,False,—,None
The Killing Fields,1984,False,—,None
The Quiet Earth,1985,False,—,None
Diner,1982,False,—,None
Atlantic City,1980,False,—,None
The Man Who Fell to Earth,1976,False,—,None
Mean Streets,1973,False,—,None
Oliver Twist,1948,False,—,None
All About Eve,1950,True,"RipItGood, TheBox, JeSTeRPLeX",Fuzzy
The Wrestler,2008,True,RipItGood,Title+Year
The King of Kong: A Fistful of Quarters,2007,False,—,None
Best in Show,2000,False,—,None
Sexy Beast,2000,False,—,None
Spider,2002,False,—,None
The Ruins,2008,False,—,None
Magnolia,1999,True,TheBox,Title+Year
Unforgiven,1992,False,—,None
Carlito's Way,1993,False,—,None
True Romance,1993,False,—,None
JFK,1991,False,—,None
Big Night,1996,False,—,None
Election,1999,False,—,None
Bad Lieutenant,1992,False,—,None
Vice Squad,1982,False,—,None
Time Bandits,1981,True,JeSTeRPLeX,Title+Year
Looker,1981,False,—,None
Into the Night,1985,False,—,None
Hellraiser,1987,True,TheBox,Title+Year
Tootsie,1982,False,—,None
Southern Comfort,1981,False,—,None
Body Double,1984,False,—,None
Body Heat,1981,False,—,None
Day of the Dead,1985,False,—,None
Something Wild,1986,False,—,None
Re-Animator,1985,False,—,None
Dead Ringers,1988,False,—,None
To Live and Die in L.A.,1985,False,—,None
The Long Good Friday,1980,False,—,None
Twin Peaks: The Return,2017,False,—,None
Baraka,1992,True,TheBox,Title+Year
Paper Moon,1973,False,—,None
All the Beauty and the Bloodshed,2022,False,—,None
The Bridge on the River Kwai,1957,True,RipItGood,Title+Year
Miss Saigon: 25th Anniversary Performance,2016,False,—,None
Young Frankenstein,1974,True,"TheBox, JeSTeRPLeX",Title+Year
Room,2015,False,—,None
Inside Llewyn Davis,2013,False,—,None
A Hidden Life,2019,False,—,None
Frankenstein,1931,True,"TheBox, Z'Films",Fuzzy
First Cow,2019,False,—,None
The Wind That Shakes the Barley,2006,False,—,None
Waking Life,2001,False,—,None
Inside Job,2010,True,JeSTeRPLeX,Title+Year
The Place Beyond the Pines,2012,False,—,None
Memoria,2021,True,TheBox,Title+Year
Images,1972,False,—,None
Jesus Christ Superstar,1973,False,—,None
Tucker and Dale vs. Evil,2010,True,"TheBox, Z'Films",Fuzzy
The Omen,1976,True,RipItGood,Fuzzy
The Fountain,2006,True,JeSTeRPLeX,Fuzzy
On the Basis of Sex,2018,True,TheBox,Title+Year
Across the Universe,2007,False,—,None
Quills,2000,False,—,None
Hanna,2011,True,JeSTeRPLeX,Title+Year
P.S. I Love You,2007,True,JeSTeRPLeX,Title+Year
Wrongfully Accused,1998,False,—,None
Secretary,2002,True,TheBox,Title+Year
Midnight Express,1978,False,—,None
Air,2023,False,—,None
Passengers,2016,True,"JeSTeRPLeX, Z'Films",Title+Year
Primer,2004,True,TheBox,Title+Year
Climax,2018,True,TheBox,Title+Year
In Bruges,2008,True,"RipItGood, TheBox",Title+Year
Possession,1981,True,TheBox,Title+Year
Hard Eight,1996,True,TheBox,Title+Year
Machete,2010,False,—,None
"tick, tick... BOOM!",2021,True,JeSTeRPLeX,Title+Year
The Power of the Dog,2021,False,—,None
No Time to Die,2021,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
"Girl, Interrupted",1999,True,TheBox,Title+Year
Ad Astra,2019,True,"TheBox, JeSTeRPLeX",Title+Year
The Yearling,1946,False,—,None
Air Force One,1997,True,JeSTeRPLeX,Title+Year
An Affair to Remember,1957,False,—,None
Memoirs of a Geisha,2005,True,JeSTeRPLeX,Title+Year
Gandhi,1982,False,—,None
Midnight Cowboy,1969,False,—,None
Patton,1970,False,—,None
Terms of Endearment,1983,False,—,None
Chariots of Fire,1981,True,JeSTeRPLeX,Title+Year
Kramer vs. Kramer,1979,False,—,None
The Deer Hunter,1978,True,TheBox,Title+Year
Oliver!,1968,True,JeSTeRPLeX,Title+Year
In the Heat of the Night,1967,False,—,None
Anne of Green Gables,1985,True,JeSTeRPLeX,Title+Year
Vertigo,1958,True,TheBox,Title+Year
Secrets & Lies,1996,False,—,None
Rosemary's Baby,1968,True,"RipItGood, TheBox",Title+Year
"Synecdoche, New York",2008,True,TheBox,Title+Year
Phantom Thread,2017,False,—,None
The Batman,2022,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Butch Cassidy and the Sundance Kid,1969,True,JeSTeRPLeX,Title+Year
Suspiria,2018,True,TheBox,Title+Year
Suspiria,1977,True,TheBox,Title+Year
Judas and the Black Messiah,2021,False,—,None
"Ma Belle, My Beauty",2021,False,—,None
Barbarian,2022,False,—,None
The Texas Chain Saw Massacre,1974,False,—,None
Carrie,1976,True,TheBox,Title+Year
Titane,2021,True,TheBox,Title+Year
Nobody,2021,True,TheBox,Title+Year
The Darjeeling Limited,2007,True,TheBox,Title+Year
Moulin Rouge!,2001,True,TheBox,Title+Year
Three Thousand Years of Longing,2022,True,TheBox,Title+Year
Burn After Reading,2008,True,"RipItGood, TheBox",Title+Year
CODA,2021,True,JeSTeRPLeX,Title+Year
Ford v Ferrari,2019,True,"JeSTeRPLeX, Z'Films",Title+Year
My Octopus Teacher,2020,False,—,None
Lord of War,2005,True,"RipItGood, TheBox",Title+Year
Water Lilies,2007,True,TheBox,Title+Year
Deepwater Horizon,2016,True,JeSTeRPLeX,Title+Year
Charli XCX: Alone Together,2021,False,—,None
Nightmare Alley,2021,False,—,None
The Evil Dead,1981,False,—,None
Tetris,2023,False,—,None
Blast from the Past,1999,False,—,None
The Big Year,2011,True,TheBox,Title+Year
House,1977,False,—,None
Close-Up,1990,False,—,None
Red Desert,1964,False,—,None
Brute Force,1947,False,—,None
Warrendale,1967,False,—,None
Naked,1993,False,—,None
Breathless,1960,False,—,None
Vivre Sa Vie,1962,False,—,None
Hunger,2008,False,—,None
Sweet Movie,1974,False,—,None
"Rome, Open City",1945,False,—,None
Paisan,1946,False,—,None
"Germany, Year Zero",1948,False,—,None
The Night of the Hunter,1955,False,—,None
Pickpocket,1959,False,—,None
French Cancan,1955,False,—,None
Elena and Her Men,1956,False,—,None
Gomorrah,2008,False,—,None
Mouchette,1967,False,—,None
Days of Heaven,1978,False,—,None
The Killing of a Chinese Bookie,1976,False,—,None
Opening Night,1977,False,—,None
The 400 Blows,1959,False,—,None
Pleasures of the Flesh,1965,False,—,None
Sing a Song of Sex,1967,False,—,None
Japanese Summer: Double Suicide,1967,False,—,None
The Wages of Fear,1953,False,—,None
Crumb,1994,False,—,None
The Battle of Algiers,1966,False,—,None
Three Colours: White,1994,True,TheBox,Fuzzy
Three Colours: Red,1994,True,TheBox,Fuzzy
Le Havre,2011,False,—,None
Vive Le Tour,1962,False,—,None
A Human Condition,1974,False,—,None
Place de la République,1974,False,—,None
Insignificance,1985,False,—,None
Masculin Féminin,1966,False,—,None
À propos de Nice,1930,False,—,None
Zero for Conduct,1933,False,—,None
Tess,1979,False,—,None
Picnic at Hanging Rock,1975,False,—,None
The Devil's Backbone,2001,False,—,None
Medium Cool,1969,False,—,None
Zazie dans le Métro,1960,False,—,None
Murmur of the Heart,1971,False,—,None
Y Tu Mamá También,2001,True,TheBox,Title+Year
Eyes Without a Face,1960,False,—,None
American Made,2017,False,—,None
Mickey Blue Eyes,1999,False,—,None
The Holy Mountain,1973,True,TheBox,Title+Year
Just One of the Guys,1985,False,—,None
Before Sunrise,1995,True,TheBox,Title+Year
Halloween,1978,True,TheBox,Title+Year
The Exorcist,1973,True,TheBox,Title+Year
The King's Man,2021,True,JeSTeRPLeX,Title+Year
Project X,2012,False,—,None
Perfect Blue,1997,False,—,None
Your Name.,2016,True,"JeSTeRPLeX, Z'Films",Title+Year
John Wick: Chapter 2,2017,True,"JeSTeRPLeX, Z'Films",Title+Year
Before Sunset,2004,True,TheBox,Title+Year
John Wick: Chapter 4,2023,True,"TheBox, Z'Films",Title+Year
Nocturnal Animals,2016,False,—,None
Undercover Brother,2002,False,—,None
Taking Care of Business,1990,False,—,None
Neon Genesis Evangelion,1995,False,—,None
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,False,—,None
Before Midnight,2013,True,TheBox,Title+Year
The Sound of Music,1965,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Philly D.A.,2021,False,—,None
First Reformed,2017,True,TheBox,Fuzzy
The Prince of Egypt,1998,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Who Framed Roger Rabbit,1988,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
The Joy Luck Club,1993,True,RipItGood,Title+Year
Happening,2021,False,—,None
Nosferatu,1922,True,TheBox,Title+Year
Troy,2022,True,"TheBox, Z'Films, JeSTeRPLeX",Fuzzy
Brigsby Bear,2017,True,TheBox,Title+Year
Weiner,2016,True,TheBox,Title+Year
Enter the Void,2009,True,TheBox,Title+Year
The Queen of Basketball,2021,False,—,None
Kajillionaire,2020,True,TheBox,Title+Year
King Richard,2021,True,"TheBox, JeSTeRPLeX",Title+Year
14 Peaks: Nothing Is Impossible,2021,True,JeSTeRPLeX,Title+Year
You Won't Be Alone,2022,True,TheBox,Title+Year
El Camino: A Breaking Bad Movie,2019,True,JeSTeRPLeX,Title+Year
Night of the Kings,2020,False,—,None
Don't Breathe,2016,False,—,None
Emily the Criminal,2022,False,—,None
Infinity Pool,2023,True,TheBox,Title+Year
Barbarella,1968,True,TheBox,Title+Year
Everest,2015,True,"TheBox, JeSTeRPLeX",Title+Year
Back to School,1986,True,TheBox,Title+Year
White Boy Rick,2018,False,—,None
Mad Max Beyond Thunderdome,1985,True,"TheBox, JeSTeRPLeX",Title+Year
Our Idiot Brother,2011,False,—,None
Final Portrait,2017,True,TheBox,Title+Year
The Cannonball Run,1981,True,TheBox,Title+Year
The Day After Tomorrow,2004,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Expendables,2010,True,JeSTeRPLeX,Fuzzy
Hancock,2008,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Alien Resurrection,1997,True,"RipItGood, TheBox",Fuzzy
Machete Kills,2013,True,TheBox,Title+Year
AVP: Alien vs. Predator,2004,False,—,None
Total Recall,2012,True,JeSTeRPLeX,Title+Year
Die Hard With a Vengeance,1995,True,"RipItGood, JeSTeRPLeX",Title+Year
Seven Samurai,1954,True,"TheBox, JeSTeRPLeX",Title+Year
The Trial of the Chicago 7,2020,False,—,None
Fear Street: 1978,2021,False,—,None
Spring Breakers,2012,True,TheBox,Title+Year
Hellboy,2019,True,"RipItGood, JeSTeRPLeX",Fuzzy
He Got Game,1998,False,—,None
Freaked,1993,False,—,None
Freeway,1996,False,—,None
From Here to Eternity,1953,False,—,None
The Handmaiden,2016,True,TheBox,Title+Year
Lilies,1996,False,—,None
Velvet Goldmine,1998,False,—,None
House of 1000 Corpses,2003,False,—,None
Death Proof,2007,False,—,None
The Beach Bum,2019,False,—,None
Under the Silver Lake,2018,False,—,None
Society,1989,False,—,None
Basic Instinct,1992,True,RipItGood,Title+Year
La Bête Humaine,1938,False,—,None
Lost Highway,1997,False,—,None
Near Dark,1987,False,—,None
Excalibur,1981,False,—,None
Killer Joe,2011,False,—,None
Kinsey,2004,True,RipItGood,Title+Year
Nymphomaniac: Vol. I,2013,False,—,None
Despite the Night,2015,False,—,None
Anatomy of a Fall,2023,True,TheBox,Title+Year
Reality,2023,False,—,None
Bullitt,1968,True,JeSTeRPLeX,Title+Year
The Legend of Bagger Vance,2000,True,JeSTeRPLeX,Title+Year
Song of the South,1946,True,"RipItGood, JeSTeRPLeX",Title+Year
Goldfinger,1964,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
The Rock,1996,True,RipItGood,Title+Year
Juggernaut,1974,False,—,None
Six Days Seven Nights,1998,False,—,None
The Graduate,1967,False,—,None
First Man,2018,False,—,None
Staying Alive,1983,False,—,None
Cop Land,1997,False,—,None
Breach,2007,True,"RipItGood, JeSTeRPLeX",Title+Year
The Score,2001,False,—,None
Hair,1979,False,—,None
Mysterious Skin,2004,False,—,None
The Lobster,2015,False,—,None
Angel Heart,1987,False,—,None
Analyze This,1999,False,—,None
13 Hours: The Secret Soldiers of Benghazi,2016,False,—,None
Tuff Turf,1985,False,—,None
Bad Influence,1990,False,—,None
Mannequin,1987,True,TheBox,Title+Year
Caligula,1979,False,—,None
3 Idiots,2009,True,TheBox,Title+Year
Fallen Angels,1995,False,—,None
Underground,1995,False,—,None
Nashville,1975,False,—,None
Rumble Fish,1983,False,—,None
The Cell,2000,False,—,None
Computer Chess,2013,False,—,None
My Girl,1991,False,—,None
Harriet the Spy,1996,False,—,None
Varsity Blues,1999,True,"RipItGood, TheBox",Title+Year
The Warriors,1979,False,—,None
King of New York,1990,False,—,None
Vision Quest,1985,False,—,None
Stripes,1981,True,"RipItGood, TheBox",Title+Year
Hoosiers,1986,True,"RipItGood, JeSTeRPLeX",Title+Year
The Last Boy Scout,1991,True,"RipItGood, TheBox",Title+Year
Juice,1992,False,—,None
Shooter,2007,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Panic Room,2002,False,—,None
Benny & Joon,1993,False,—,None
Drive Me Crazy,1999,False,—,None
Hell's Angels,1930,False,—,None
Scarface,1932,True,RipItGood,Fuzzy
The Outlaw,1943,False,—,None
Charming the Hearts of Men,2021,False,—,None
Erin Brockovich,2000,False,—,None
Lawless,2012,True,TheBox,Title+Year
Proof,2005,True,JeSTeRPLeX,Title+Year
The Wicker Man,1973,True,TheBox,Title+Year
Killers of the Flower Moon,2023,False,—,None
Nick Cave & The Bad Seeds: One More Time with Feeling,2016,False,—,None
The Gleaners and I,2000,False,—,None
Alone in the Wilderness,2004,False,—,None
Original Cast Album: Company,1970,False,—,None
The Sorrow and the Pity,1969,False,—,None
LA 92,2017,False,—,None
The Last Waltz,1978,False,—,None
Woodstock,1970,False,—,None
Hearts and Minds,1974,False,—,None
Ennio,2021,False,—,None
Jimi Plays Monterey,1977,False,—,None
Apollo 11,2019,False,—,None
Roger Waters: The Wall,2014,False,—,None
Gimme Shelter,1970,False,—,None
Ryuichi Sakamoto: Coda,2017,False,—,None
Style Wars,1983,False,—,None
Wattstax,1973,False,—,None
The Cove,2009,True,RipItGood,Title+Year
Bones Brigade: An Autobiography,2012,False,—,None
The Fog of War,2003,False,—,None
Jodorowsky's Dune,2013,True,TheBox,Title+Year
Mur Murs,1981,False,—,None
To Be and to Have,2002,False,—,None
Garlic Is as Good as Ten Mothers,1980,False,—,None
Feels Good Man,2020,False,—,None
The Farthest,2017,False,—,None
Christine,1983,False,—,None
Working Girl,1988,False,—,None
Giant,1956,False,—,None
Suzume,2022,False,—,None
Brazil,1985,True,TheBox,Title+Year
Malignant,2021,True,TheBox,Title+Year
Stardust,2007,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Dredd,2012,False,—,None
Dog,2022,True,JeSTeRPLeX,Title+Year
The Descent,2005,True,TheBox,Title+Year
Sabrina the Teenage Witch,1996,False,—,None
Invasion of the Body Snatchers,1978,False,—,None
The Umbrellas of Cherbourg,1964,True,TheBox,Title+Year
Oklahoma!,1955,True,JeSTeRPLeX,Title+Year
Heaven Can Wait,1978,True,JeSTeRPLeX,Title+Year
The Ladies Man,1961,False,—,None
Mon Oncle,1958,False,—,None
The Commitments,1991,False,—,None
Teen Witch,1989,False,—,None
Hollow Man,2000,False,—,None
Eraserhead,1977,False,—,None
Rebel Without a Cause,1955,False,—,None
La Dolce Vita,1960,False,—,None
Remember the Titans,2000,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Big Eyes,2014,False,—,None
Idiocracy,2006,False,—,None
No Strings Attached,2011,False,—,None
Battle of the Sexes,2017,True,"TheBox, JeSTeRPLeX",Title+Year
Pleasure,2021,False,—,None
The Lazarus Project,2008,False,—,None
Transcendence,2014,True,JeSTeRPLeX,Title+Year
Navy Seals,1990,False,—,None
Party Girl,1995,True,TheBox,Title+Year
Do Revenge,2022,True,TheBox,Title+Year
Fury,2014,False,—,None
The Taste of Things,2023,False,—,None
The Boy and the Heron,2023,True,"TheBox, Z'Films",Title+Year
Operation Avalanche,2016,False,—,None
Strictly Ballroom,1992,True,JeSTeRPLeX,Title+Year
The Cat Returns,2002,False,—,None
No One Will Save You,2023,True,JeSTeRPLeX,Title+Year
El Conde,2023,True,TheBox,Title+Year
Bāhubali: The Beginning,2015,True,TheBox,Title+Year
Bāhubali 2: The Conclusion,2017,True,TheBox,Title+Year
Dangal,2016,False,—,None
The Creator,2023,True,JeSTeRPLeX,Title+Year
Sabrina,1995,True,JeSTeRPLeX,Title+Year
Sabrina,1954,True,JeSTeRPLeX,Title+Year
The Village,2004,False,—,None
Friday the 13th,1980,False,—,None
Prey,2022,True,TheBox,Title+Year
Judge Dredd,1995,False,—,None
"You, Me and Dupree",2006,True,JeSTeRPLeX,Title+Year
Fall,2022,True,"TheBox, JeSTeRPLeX",Title+Year
Raw,2016,True,TheBox,Title+Year
A Haunting in Venice,2023,True,"JeSTeRPLeX, Z'Films",Title+Year
So I Married an Axe Murderer,1993,True,JeSTeRPLeX,Title+Year
Mrs. Harris Goes to Paris,2022,True,JeSTeRPLeX,Title+Year
Priscilla,2023,False,—,None
When Evil Lurks,2023,False,—,None
The Wonderful Story of Henry Sugar,2023,True,JeSTeRPLeX,Title+Year
V/H/S/85,2023,False,—,None
The King of Comedy,1982,False,—,None
The Zone of Interest,2023,True,"TheBox, JeSTeRPLeX",Title+Year
[REC],2007,False,—,None
Winnie the Pooh: Blood and Honey,2023,False,—,None
Throne of Blood,1957,False,—,None
The Woodsman,2004,False,—,None
You Should Have Left,2020,False,—,None
Sugar & Spice,2001,True,TheBox,Title+Year
Licorice Pizza,2021,True,TheBox,Title+Year
Fresh,2022,False,—,None
The Babadook,2014,False,—,None
RRR,2022,True,"TheBox, Z'Films",Title+Year
Neon Genesis Evangelion: The End of Evangelion,1997,True,TheBox,Title+Year
Murder on the Orient Express,2017,True,"JeSTeRPLeX, Z'Films",Title+Year
Morbius,2022,True,"TheBox, JeSTeRPLeX",Title+Year
The Tragedy of Macbeth,2021,True,TheBox,Title+Year
Nimona,2023,True,JeSTeRPLeX,Title+Year
Phenomenon,1996,True,JeSTeRPLeX,Title+Year
Monsieur N.,2003,False,—,None
Sex Drive,2008,False,—,None
Runaway,1984,False,—,None
Trick or Treat,1986,False,—,None
The Ringmaster,2019,False,—,None
Incognito,1997,False,—,None
Rush,1991,False,—,None
Lost Boys: The Tribe,2008,False,—,None
Dark City,1998,False,—,None
Pearl,2022,False,—,None
The Devil All the Time,2020,False,—,None
The Last Duel,2021,False,—,None
Gangs of New York,2002,False,—,None
Thoroughbreds,2017,False,—,None
The Bling Ring,2013,False,—,None
The Wailing,2016,False,—,None
Cure,1997,True,TheBox,Title+Year
Ghost World,2001,False,—,None
A Girl Walks Home Alone at Night,2014,False,—,None
At Eternity's Gate,2018,True,JeSTeRPLeX,Title+Year
The Good Dinosaur,2015,True,"TheBox, JeSTeRPLeX",Title+Year
A Beautiful Day in the Neighborhood,2019,False,—,None
The Square,2017,False,—,None
Good Boys,2019,True,RipItGood,Fuzzy
Sucker Punch,2011,True,"RipItGood, JeSTeRPLeX",Title+Year
Creep,2014,False,—,None
I Saw the Devil,2010,False,—,None
A Cure for Wellness,2016,False,—,None
Helter Skelter,2012,False,—,None
Let Me In,2010,False,—,None
Life After Beth,2014,False,—,None
Dead Snow,2009,False,—,None
Normal People,2020,False,—,None
Searching for Sugar Man,2012,False,—,None
Mad God,2021,True,TheBox,Title+Year
Lagaan: Once Upon a Time in India,2001,True,TheBox,Title+Year
Thanksgiving,2023,False,—,None
Bringing Up Baby,1938,True,"TheBox, JeSTeRPLeX",Title+Year
Real Genius,1985,True,TheBox,Title+Year
Smile,2022,False,—,None
Jerry & Marge Go Large,2022,True,JeSTeRPLeX,Fuzzy
Saint Laurent,2014,False,—,None
Hell or High Water,2016,True,TheBox,Title+Year
A Fistful of Dollars,1964,True,"RipItGood, TheBox",Title+Year
Stagecoach,1939,True,JeSTeRPLeX,Title+Year
Natural Born Killers,1994,False,—,None
Gerald's Game,2017,False,—,None
Ocean's Thirteen,2007,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
"Love, Simon",2018,False,—,None
Blue Is the Warmest Color,2013,False,—,None
The Piano Teacher,2001,False,—,None
But I'm a Cheerleader,1999,True,TheBox,Title+Year
Ghost Dog: The Way of the Samurai,1999,True,TheBox,Title+Year
May December,2023,False,—,None
Shin Godzilla,2016,True,TheBox,Title+Year
Godzilla Minus One,2023,True,TheBox,Title+Year
God,1998,False,—,None
Leave the World Behind,2023,False,—,None
Hannibal,2001,True,TheBox,Title+Year
Somm: Into the Bottle,2015,False,—,None
Somm III,2018,False,—,None
Somm: Cup of Salvation,2023,False,—,None
"Crazy, Stupid, Love.",2011,True,TheBox,Title+Year
Past Lives,2023,True,JeSTeRPLeX,Title+Year
Grosse Pointe Blank,1997,False,—,None
Crimes of the Future,2022,False,—,None
Death Wish,1974,False,—,None
Decision to Leave,2022,True,TheBox,Title+Year
Hugo,2011,True,"TheBox, JeSTeRPLeX",Title+Year
The Adam Project,2022,True,JeSTeRPLeX,Title+Year
Night of the Living Dead,1968,False,—,None
Harakiri,1962,False,—,None
Close,2022,False,—,None
Silence,2016,False,—,None
Hustle,2022,False,—,None
Mystic River,2003,False,—,None
Candyman,1992,False,—,None
Ikiru,1952,True,TheBox,Title+Year
Child's Play,1988,False,—,None
Terrifier,2016,False,—,None
Tangerine,2015,False,—,None
The Raid,2011,False,—,None
Seven Psychopaths,2012,False,—,None
A History of Violence,2005,True,"RipItGood, TheBox",Title+Year
Walk the Line,2005,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Hiroshima Mon Amour,1959,False,—,None
Spartacus,1960,True,JeSTeRPLeX,Title+Year
Killing Them Softly,2012,False,—,None
The Blue Caftan,2022,False,—,None
The Informant!,2009,True,RipItGood,Title+Year
The Cat in the Hat,2003,True,TheBox,Title+Year
Rubber,2010,True,TheBox,Title+Year
Death on the Nile,1978,True,"RipItGood, TheBox, Z'Films, JeSTeRPLeX",Fuzzy
Hellraiser,2022,True,TheBox,Fuzzy
Fire Island,2022,False,—,None
World of Tomorrow,2015,False,—,None
Kicking and Screaming,1995,True,TheBox,Title+Year
Jack Frost,1997,False,—,None
"Silent Night, Deadly Night",1984,False,—,None
Sole Survivor,1984,False,—,None
Krampus,2015,True,TheBox,Title+Year
Sick for Toys,2018,False,—,None
The Dead Zone,1983,False,—,None
Church of the Damned,1985,False,—,None
Night Terrors,2014,False,—,None
Zombie Death House,1988,False,—,None
Taking Sides,2001,False,—,None
Death in Venice,1971,False,—,None
Don't Be Afraid of the Dark,2010,False,—,None
Strange Behavior,1981,False,—,None
Capote,2005,False,—,None
The Malibu Bikini Shop,1986,False,—,None
Gorillas in the Mist,1988,False,—,None
Poor Things,2023,False,—,None
Last Flag Flying,2017,False,—,None
Small Soldiers,1998,False,—,None
Snake Eyes,1998,True,JeSTeRPLeX,Fuzzy
Maestro,2023,True,JeSTeRPLeX,Title+Year
Colors,1988,False,—,None
V,1983,False,—,None
Along Came a Spider,2001,True,RipItGood,Title+Year
Life of Brian,1979,False,—,None
Mary and Max,2009,True,TheBox,Title+Year
Gladiator,2000,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Lord of the Rings: The Fellowship of the Ring,2001,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
The Lord of the Rings: The Two Towers,2002,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
The Lord of the Rings: The Return of the King,2003,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Bucket List,2007,True,RipItGood,Title+Year
Tokyo Godfathers,2003,True,TheBox,Title+Year
Society of the Snow,2023,True,TheBox,Title+Year
Stargate,1994,True,JeSTeRPLeX,Title+Year
Mean Girls,2024,True,JeSTeRPLeX,Title+Year
Monster,2023,False,—,None
Rye Lane,2023,True,TheBox,Title+Year
Glass,2019,True,JeSTeRPLeX,Title+Year
Unbreakable,2000,True,JeSTeRPLeX,Title+Year
The Visit,2015,True,RipItGood,Fuzzy
Marrowbone,2017,False,—,None
Country Strong,2010,True,"RipItGood, TheBox",Title+Year
The Babysitter,2017,False,—,None
The Babysitter: Killer Queen,2020,False,—,None
Stuck on You,2003,True,JeSTeRPLeX,Title+Year
Infamous,2020,False,—,None
Girl,2020,False,—,None
Habit,2021,False,—,None
Theater Camp,2023,True,JeSTeRPLeX,Title+Year
I.S.S.,2023,True,JeSTeRPLeX,Fuzzy
The Bélier Family,2014,False,—,None
Serial (Bad) Weddings,2014,False,—,None
What's in a Name,2012,False,—,None
War of the Buttons,2011,False,—,None
Welcome to the Sticks,2008,False,—,None
The Chorus,2004,False,—,None
The Dinner Game,1998,False,—,None
Family Resemblances,1996,False,—,None
Nikita,1990,False,—,None
Life Is a Long Quiet River,1988,False,—,None
Au Revoir les Enfants,1987,False,—,None
Jean de Florette,1986,False,—,None
Manon of the Spring,1986,False,—,None
Santa Claus Is a Stinker,1985,False,—,None
La Chèvre,1981,False,—,None
French Fried Vacation,1978,False,—,None
Pierrot le Fou,1965,False,—,None
The Rules of the Game,1939,False,—,None
Children of Paradise,1945,False,—,None
Iron Eagle,1986,False,—,None
Push,2009,True,JeSTeRPLeX,Title+Year
Columbus,2017,False,—,None
Lemonade Mouth,2011,False,—,None
The Iron Claw,2023,False,—,None
"Angus, Thongs and Perfect Snogging",2008,True,RipItGood,Title+Year
Mandy,2018,True,TheBox,Title+Year
Dream Scenario,2023,True,TheBox,Title+Year
Bringing Out the Dead,1999,True,TheBox,Title+Year
Willy's Wonderland,2021,True,JeSTeRPLeX,Title+Year
Knowing,2009,True,JeSTeRPLeX,Title+Year
Grindhouse,2007,False,—,None
Gone in Sixty Seconds,2000,False,—,None
Vampire's Kiss,1988,False,—,None
8MM,1999,False,—,None
Matchstick Men,2003,True,JeSTeRPLeX,Title+Year
The Wicker Man,2006,True,TheBox,Fuzzy
